Date,Open,High,Low,Close,Adj Close,Volume
2022-01-15,1.000154,1.001535,0.998566,0.999082,0.999082,2928423910
2022-01-16,0.999100,1.001592,0.998107,0.999535,0.999535,3172063295
2022-01-17,0.999593,1.001895,0.998207,1.001598,1.001598,3705356357
2022-01-18,1.001609,1.001609,0.998179,0.999426,0.999426,3907773170
2022-01-19,0.999401,1.001710,0.997552,0.999147,0.999147,3870561691
2022-01-20,0.999182,1.002243,0.997116,1.000084,1.000084,315551099744
2022-01-21,1.000097,1.001751,0.997391,1.001076,1.001076,6747147208
2022-01-22,1.001012,1.001347,0.997758,1.000477,1.000477,6830056358
2022-01-23,1.000513,1.001996,0.998239,1.001051,1.001051,4671389615
2022-01-24,1.001027,1.001423,0.997789,1.000473,1.000473,6931732958
2022-01-25,1.000491,1.001252,0.998054,0.999359,0.999359,4605027221
2022-01-26,0.999322,1.001738,0.998165,1.000250,1.000250,5563978841
2022-01-27,1.000207,1.001804,0.997914,0.999636,0.999636,4613092834
2022-01-28,0.999684,1.002070,0.998180,1.000734,1.000734,4635698037
2022-01-29,1.000751,1.001861,0.998324,1.000843,1.000843,3085902665
2022-01-30,1.000834,1.001197,0.997999,1.000982,1.000982,2608403488
2022-01-31,1.001025,1.002057,0.998196,1.000100,1.000100,3577878144
2022-02-01,1.000085,1.001526,0.998029,1.000881,1.000881,3448576549
2022-02-02,1.000917,1.001566,0.998211,0.998694,0.998694,3585873801
2022-02-03,0.998703,1.001912,0.998547,1.001277,1.001277,3624106074
2022-02-04,1.001224,1.001518,0.998442,0.999693,0.999693,4540384653
2022-02-05,0.999710,1.001409,0.998234,0.998840,0.998840,3963213348
2022-02-06,0.998779,1.001383,0.998440,0.999898,0.999898,3226430907
2022-02-07,0.999915,1.001518,0.998114,0.999276,0.999276,4889396144
2022-02-08,0.999307,1.000858,0.997676,1.000583,1.000583,5135296092
2022-02-09,1.000533,1.001410,0.998315,1.000342,1.000342,3805589182
2022-02-10,1.000312,1.001073,0.997988,0.998938,0.998938,6896251108
2022-02-11,0.998943,1.001374,0.998410,0.998951,0.998951,5668341964
2022-02-12,0.998989,1.001715,0.998400,0.999620,0.999620,4072552039
2022-02-13,0.999593,1.001822,0.998255,0.998666,0.998666,3570660651
2022-02-14,0.998732,1.002238,0.997947,0.998698,0.998698,3939768489
2022-02-15,0.998702,1.001179,0.998400,1.000448,1.000448,4879125525
2022-02-16,1.000488,1.001163,0.998129,0.999201,0.999201,4475930042
2022-02-17,0.999148,1.001321,0.998110,1.000608,1.000608,4635798731
2022-02-18,1.000587,1.002591,0.998446,0.999061,0.999061,4258048034
2022-02-19,0.999018,1.001496,0.998328,0.999790,0.999790,3002762758
2022-02-20,0.999784,1.001387,0.997986,0.998853,0.998853,3612352120
2022-02-21,0.998866,1.001355,0.998185,0.998494,0.998494,5311212829
2022-02-22,0.998604,1.001381,0.997735,1.000728,1.000728,5003666912
2022-02-23,1.000724,1.001643,0.998096,0.999737,0.999737,4784157895
